Symbol,Date,Exchange,TOD,Volume
BHP,20140328,NASDAQ OMX PSX,Close,0
BHP,20140328,Chicago,Regular,100
BHP,20140328,Chicago,Open,0
BHP,20140328,Chicago,After-Hours,0
BHP,20140328,Chicago,Close,0
BHP,20140328,National,Regular,8998
BHP,20140328,National,Open,0
BHP,20140328,National,After-Hours,0
BHP,20140328,National,Close,0
BHP,20140328,NASDAQ OMX BX,Regular,19555
BHP,20140328,NASDAQ OMX BX,Open,0
BHP,20140328,NASDAQ OMX BX,After-Hours,0
BHP,20140328,NASDAQ OMX BX,Close,0
BHP,20140414,National,Regular,4872
BHP,20140414,National,Open,0
BHP,20140414,National,After-Hours,0
BHP,20140414,National,Close,0
BHP,20140414,BATS Y,Regular,20984
BHP,20140414,BATS Y,Open,0
BHP,20140414,BATS Y,After-Hours,0
BHP,20140414,BATS Y,Close,0
BHP,20140414,NYSE Arca SM,Regular,121799
BHP,20140414,NYSE Arca SM,Open,100
BHP,20140414,NYSE Arca SM,After-Hours,900
BHP,20140414,NYSE Arca SM,Close,104
BHP,20140414,FINRA,Regular,345625
BHP,20140414,FINRA,Open,0
BHP,20140414,FINRA,After-Hours,0
BHP,20140414,FINRA,Close,0
BHP,20140414,BATS,Regular,226476
BHP,20140414,BATS,Open,0
BHP,20140414,BATS,After-Hours,0
BHP,20140414,BATS,Close,0
BHP,20140414,Direct Edge X,Regular,55879
BHP,20140414,Direct Edge X,Open,0
BHP,20140414,Direct Edge X,After-Hours,0
BHP,20140414,Direct Edge X,Close,0
BHP,20140414,NASDAQ OMX,Regular,161628
BHP,20140414,NASDAQ OMX,Open,100
BHP,20140414,NASDAQ OMX,After-Hours,100
BHP,20140414,NASDAQ OMX,Close,48
BHP,20140414,NASDAQ OMX PSX,Regular,7105
BHP,20140414,NASDAQ OMX PSX,Open,0
BHP,20140414,NASDAQ OMX PSX,After-Hours,0
BHP,20140414,NASDAQ OMX PSX,Close,0
BHP,20140414,Direct Edge A,Regular,45288
BHP,20140414,Direct Edge A,Open,0
BHP,20140414,Direct Edge A,After-Hours,0
BHP,20140414,Direct Edge A,Close,0
BHP,20140414,NYSE,Regular,458052
BHP,20140414,NYSE,Open,17148
BHP,20140414,NYSE,After-Hours,0
BHP,20140414,NYSE,Close,14463
BHP,20140414,NASDAQ OMX BX,Regular,36066
BHP,20140414,NASDAQ OMX BX,Open,0
BHP,20140414,NASDAQ OMX BX,After-Hours,0
BHP,20140414,NASDAQ OMX BX,Close,0
